,Natural Language Query,Generated SQL Query,Result
33,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT concert.concert_Name, concert.Theme, COUNT(singer_in_concert.Singer_ID) AS Number_of_Singers
FROM concert
LEFT JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID
GROUP BY concert.concert_ID;","  concert_Name           Theme  Number_of_Singers
     Auditions     Free choice                  3
Super bootcamp   Free choice 2                  2
   Home Visits   Bleeding Love                  1
        Week 1      Wide Awake                  1
        Week 1   Happy Tonight                  2
        Week 2 Party All Night                  1"
34,"What are the names , themes , and number of singers for every concert ?","SELECT concert.concert_Name, concert.Theme, COUNT(singer_in_concert.Singer_ID) AS Number_of_Singers
FROM concert
JOIN singer_in_concert ON concert.concert_ID = singer_in_concert.concert_ID
GROUP BY concert.concert_ID;","  concert_Name           Theme  Number_of_Singers
     Auditions     Free choice                  3
Super bootcamp   Free choice 2                  2
   Home Visits   Bleeding Love                  1
        Week 1      Wide Awake                  1
        Week 1   Happy Tonight                  2
        Week 2 Party All Night                  1"
35,List singer names and number of concerts for each singer.,"SELECT singer.Name, COUNT(singer_in_concert.concert_ID) AS Number_of_Concerts
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
GROUP BY singer.Name;","        Name  Number_of_Concerts
John Nizinik                   2
Justin Brown                   3
  Rose White                   1
   Timbaland                   2
 Tribal King                   2"
36,What are the names of the singers and number of concerts for each person?,"SELECT singer.Name, COUNT(concert_ID) AS Number_of_Concerts
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
GROUP BY singer.Name;","        Name  Number_of_Concerts
John Nizinik                   2
Justin Brown                   3
  Rose White                   1
   Timbaland                   2
 Tribal King                   2"
37,List all singer names in concerts in year 2014.,"SELECT singer.Name
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID
WHERE concert.Year = '2014';","        Name
   Timbaland
Justin Brown
John Nizinik
Justin Brown
 Tribal King
  Rose White"
38,What are the names of the singers who performed in a concert in 2014?,"SELECT singer.Name
FROM singer
JOIN singer_in_concert ON singer.Singer_ID = singer_in_concert.Singer_ID
JOIN concert ON singer_in_concert.concert_ID = concert.concert_ID
WHERE concert.Year = '2014';","        Name
   Timbaland
Justin Brown
John Nizinik
Justin Brown
 Tribal King
  Rose White"
39,what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT singer.Name, singer.Country
FROM singer
WHERE singer.Song_Name LIKE '%Hey%'","        Name Country
Justin Brown  France"
40,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT singer.Name, singer.Country 
FROM singer 
WHERE singer.Song_Name LIKE '%Hey%'","        Name Country
Justin Brown  France"
41,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT stadium.Name, stadium.Location
FROM stadium
WHERE stadium.Stadium_ID IN (
    SELECT concert.Stadium_ID
    FROM concert
    WHERE concert.Year = '2014'
) AND stadium.Stadium_ID IN (
    SELECT concert.Stadium_ID
    FROM concert
    WHERE concert.Year = '2015'
)","         Name   Location
Somerset Park Ayr United"
42,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT stadium.Name, stadium.Location
FROM stadium
JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID
WHERE concert.Year IN ('2014', '2015')
GROUP BY stadium.Stadium_ID
HAVING COUNT(DISTINCT concert.Year) = 2;","         Name   Location
Somerset Park Ayr United"
43,Find the number of concerts happened in the stadium with the highest capacity .,"SELECT COUNT(*) 
FROM concert 
WHERE Stadium_ID = (
  SELECT Stadium_ID 
  FROM stadium 
  ORDER BY Capacity DESC 
  LIMIT 1
);"," COUNT(*)
        0"
44,What are the number of concerts that occurred in the stadium with the largest capacity ?,"SELECT COUNT(concert_ID) 
FROM concert 
WHERE Stadium_ID = (
  SELECT Stadium_ID 
  FROM stadium 
  ORDER BY Capacity DESC 
  LIMIT 1
)"," COUNT(concert_ID)
                 0"
